Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
MIR181A1HG,7.701485733,0.015552501,0.082133624,0.663171162,0.895468604
RPL36AP16,7.950990298,-0.016297056,0.079523542,0.675777446,0.900836542
MAGI2-AS3,5.194575523,0.01481289,0.084105281,0.649931146,0.891049649
YWHAEP5,1.781321177,-0.012561532,0.087638275,0.601749735,NA
RNU6-625P,2.689734461,-0.012887353,0.087049572,0.610038161,NA
NECAB3,25.30462073,0.015237049,0.082767308,0.658480979,0.894114946
SLC9C1,5.375131094,-0.013379587,0.086407024,0.621754527,0.877035565
SLC25A51,10.75546022,0.016811886,0.076643202,0.685202051,0.904307458
VPS33B,1.689354551,0.011963491,0.087673641,0.58807251,NA
WDR48,20.89661414,0.017628802,0.067689554,0.697552964,0.910912577
LOC100421400,2.167894267,-0.012209881,0.086924164,0.594564025,NA
RIPOR1,6.739376502,-0.014910354,0.083656839,0.653321424,0.892491106
LMO7-AS1,4.065099123,-0.014587375,0.084357619,0.647275348,NA
RNU6-548P,7.895376419,-0.013727899,0.085846524,0.630103077,0.881863013
LINC02122,9.07706623,0.008222714,0.089556081,0.46261352,0.800350371
DOCK8,28.4923022,-0.015503065,0.082060955,0.664498112,0.895503253
RNU6-1225P,7.116217506,-0.01286186,0.086967943,0.611392997,0.873662466
RNU1-28P,5.327577881,0.010670759,0.088722463,0.55279794,0.844841609
SAP30BP,20.41039667,-0.017463576,0.069758209,0.696153997,0.910373888
COL18A1,37.5375217,-0.014959955,0.083482169,0.655520069,0.892944572
PRDM4,23.47530371,-0.017019518,0.070767386,0.689931745,0.906898633
MCM6,32.86755851,0.015458349,0.08234984,0.664709378,0.895504717
RNU4-54P,12.41020398,0.015419667,0.082209103,0.664192409,0.895493403
GON7,21.10819178,0.016616591,0.077557315,0.684114817,0.903763722
NDUFAB1,65.22923439,0.017207555,0.07296673,0.693096231,0.909010719
SVEP1,15.26512074,0.013832755,0.085705844,0.633908579,0.883305586
SVIL2P,1.589733147,-0.01207044,0.087940254,0.593177785,NA
TRUB2,11.18804262,0.016560857,0.077840991,0.68342975,0.903763722
CASP1P2,2.234421047,-0.012389795,0.087448443,0.601278815,NA
C2CD4A,6.774100998,0.010629629,0.088743528,0.552805777,0.844841609
RN7SKP185,26.56434744,-0.014641982,0.084087756,0.650610203,0.891049649
KNL1,6.979317922,0.013174278,0.086599855,0.620219061,0.876599634
MRS2,23.94826031,0.016722824,0.076729916,0.686455154,0.90484532
TUBB4BP8,14.01202099,0.009131306,0.089332485,0.502193446,0.818574064
SELENOP,17.07824926,-0.013991289,0.085293637,0.638087444,0.884769923
ALG8,27.81595001,0.016897964,0.075505248,0.68939214,0.906520966
DMAP1,17.59121223,0.017035004,0.074293908,0.691532603,0.90811732
RPS3P2,11.77123356,0.017147228,0.07656557,0.693239076,0.909010719
CXCL11,8.367587532,-0.010548048,0.088749513,0.551251838,0.844143041
BTF3P6,2.669694149,-0.013275162,0.086447095,0.623045993,NA
POLR2L,126.4379931,-0.016218329,0.079080868,0.679031092,0.902428761
GINS3,2.966607463,-0.013343107,0.086279845,0.624713048,NA
LMBRD2,24.07853757,0.015651621,0.080058399,0.669683176,0.897495042
RFC4,15.56074846,0.014819701,0.083785478,0.65478997,0.892679151
SCARNA18B,6.945672044,-0.014670376,0.084052888,0.652111247,0.892049059
RNA5S9,10.25318318,-0.011916736,0.087854188,0.590834312,0.863758809
MECOM,48.53318028,0.012653474,0.087076915,0.609222045,0.872309729
LRCH3,15.22688078,0.01719501,0.072371914,0.694603351,0.909614055
EEF1A1P11,5.427702585,0.014878693,0.083496334,0.656375795,0.89325632
LRRC37A3,3.211712058,-0.013853666,0.085596808,0.636345798,NA
SETD2,45.03352784,-0.017313553,0.057664284,0.696588026,0.9105985
MIR921,5.82148811,0.012313003,0.087511666,0.601592985,0.869015106
ANKFN1,3.311707891,-0.010740544,0.088647287,0.558553056,NA
LOC105373973,2.55967154,0.013178842,0.086363406,0.622377441,NA
ACBD6,18.42904514,-0.017258371,0.071422166,0.696284772,0.910465583
RPL6P7,7.903381037,-0.012832822,0.086867698,0.614991357,0.875104172
RNU4-59P,4.010642739,0.0129675,0.086702757,0.618321802,NA
NKD1,3.463653038,0.004091563,0.085810457,0.218376734,NA
UTP14A,18.058356,-0.016498415,0.07745731,0.685735647,0.904548469
ZFYVE19,17.4726294,-0.016314138,0.078419827,0.682903401,0.903763722
LCA5L,2.141942137,-0.012524666,0.087023893,0.608485073,NA
CMTM7,13.34887319,0.015989719,0.079932926,0.677682793,0.901694772
MIR605,15.8307786,0.014667393,0.083905959,0.654325826,0.892613892
PPP2R5B,12.80198035,-0.016544359,0.077259066,0.686609998,0.90484532
FBXO4,14.32810426,0.015439583,0.08193161,0.668572976,0.897272733
EXOSC10,25.06926922,0.017400715,0.065456133,0.699645754,0.911287987
GAREM1,10.00829418,0.014675956,0.083848984,0.655020011,0.892721255
ENOX1,2.500537869,0.012949478,0.08660129,0.619143245,NA
VPS51,33.70002327,-0.017058827,0.072784821,0.695064825,0.909900839
MIR8068,6.135735114,0.012841603,0.086887784,0.616829685,0.875796015
HCAR1,5.51905594,-0.008539802,0.089447017,0.483605343,0.810104819
SH3RF3-AS1,3.795195369,-0.012778605,0.086914055,0.615816368,NA
PPP3CC,24.63188461,-0.016939154,0.073901572,0.693700527,0.909383835
KIF20A,14.37895178,-0.012896568,0.0866784,0.61873724,0.876303818
MEIS3P1,18.06352116,0.015831534,0.080480462,0.676425586,0.901014826
YIPF3,67.84210333,-0.01702566,0.072680904,0.695601789,0.910095002
TPRKBP2,3.509580099,0.014075702,0.085061701,0.644727349,NA
TTC7B,2.250179224,-0.011994115,0.086740122,0.597693385,NA
STON2,12.7742234,0.015272805,0.08217561,0.667592485,0.896723981
FEN1,30.8672786,0.014964969,0.083134354,0.662201139,0.895020168
TOMM20,158.2531003,0.016343641,0.078149355,0.685688012,0.904548469
GLUL,233.2547481,0.015494443,0.07578967,0.671700743,0.89874804
DOCK2,23.40645324,0.015574313,0.080008409,0.673117877,0.899848534
MIR1266,4.023575292,-0.012501152,0.087192001,0.610905606,NA
RPS2,671.4240877,-0.016188083,0.076192434,0.683489437,0.903763722
RN7SL851P,4.925494771,-0.014840256,0.083348949,0.660273835,0.894114946
LINC00513,34.03655767,0.015806687,0.080324594,0.677425679,0.901527492
MLLT3,15.8465969,0.01472917,0.08364658,0.658467317,0.894114946
MIR627,6.90657274,-0.014929684,0.082856352,0.662321722,0.895054605
AOC2,2.578827832,-0.013051006,0.086531327,0.624573816,NA
RN7SKP40,3.497131797,0.013679764,0.08559744,0.638308791,NA
RASAL2,16.72580975,0.016303406,0.078002987,0.68630279,0.90484532
UNKL,8.158619269,-0.016015892,0.079386221,0.681777257,0.903763722
RP1,4.433899094,0.011706414,0.087923477,0.59230214,NA
LOC100422687,4.077633468,-0.010536463,0.088686965,0.558896256,NA
LOC124900553,1.781567628,-0.012271251,0.087669335,0.606841245,NA
RBM41,17.2703798,0.016492792,0.076098279,0.68971051,0.906766643
ZFAND2B,15.8725678,0.016997747,0.072811162,0.697981639,0.910951522
THNSL1,8.435431925,0.014767597,0.083592722,0.661181947,0.894367632
TRAPPC2L,13.88717632,-0.016777251,0.07445409,0.694777745,0.909683701
KCNMA1-AS2,1.923436069,0.012019348,0.087607551,0.601559845,NA
SNX8,13.83149191,-0.016535345,0.076196157,0.691223756,0.907881395
YWHAQ,223.138083,0.017274117,0.066638202,0.702498422,0.912520896
BRWD3,17.28654739,-0.01706104,0.071414979,0.699418164,0.911227185
LAP3P1,2.069114767,0.012418424,0.087067331,0.611922638,NA
C1QBPP2,4.137069143,-0.013160539,0.086318091,0.629252882,NA
PRODH,15.48385982,0.010309757,0.088804813,0.553776638,0.845442052
IL4R,48.3576529,0.016158982,0.078511146,0.685881376,0.904584787
ZNF710,26.38979174,-0.026506112,0.088364583,0.794653284,0.944754011
TMEM260,12.25555823,0.016040963,0.078895104,0.684022116,0.903763722
WRAP53,3.890108472,0.014195442,0.084566939,0.65107677,NA
MCUR1,16.70654683,-0.016486647,0.075096109,0.691110001,0.907811422
USP22,84.79271791,-0.017006729,0.0723188,0.699273775,0.911227185
GGT2P,2.226600584,-0.009732358,0.08905529,0.535244612,NA
STK16P1,3.138052917,-0.012470244,0.0871372,0.61427727,NA
GJC1,4.620200009,-0.012973175,0.086539346,0.626174519,NA
CCDC134,7.929404863,0.015959675,0.079274671,0.683546644,0.903763722
TTI2,5.971477603,-0.015106526,0.082344881,0.669068156,0.897442932
RPL32P1,11.77550477,-0.013822867,0.085215318,0.644746518,0.888913817
PRR33,2.303457213,0.01242831,0.087041046,0.614067622,NA
NIP7,14.82477852,-0.016375808,0.076999195,0.690719682,0.90754403
LOC124905268,3.33826385,-0.013602008,0.085588112,0.640539169,NA
PPP1R14D,14.90106784,-0.009568363,0.089088657,0.530956766,0.834942724
RPL17P39,2.136329766,0.012131879,0.087341837,0.606961688,NA
CCDC162P,2.635174036,0.011272926,0.088231869,0.584455908,NA
TCTN2,8.777614697,-0.015482862,0.081060401,0.676539503,0.901014826
RPS10,4.882541161,-0.014558505,0.083684432,0.660152599,0.894114946
RNY4P17,12.76579379,-0.015409675,0.081230268,0.675551376,0.900836542
DNAJC8,58.93597336,0.017072534,0.058804352,0.701978637,0.912412737
MIR548AM,3.595836912,-0.01253015,0.08703788,0.617657177,NA
STIP1,76.64884994,-0.016612851,0.074788859,0.695353179,0.910077085
TDRD10,5.436101709,-0.01113747,0.0882417,0.581642783,0.858958891
SF3B4,48.85314057,-0.016080592,0.078180961,0.687313252,0.905371687
LCIIAR,3.20736341,0.010301704,0.088760518,0.557132095,NA
CSNK1G2P1,4.374116549,0.013734084,0.085255116,0.644913152,NA
FTCDNL1,3.482649961,-0.013546378,0.085612626,0.641124612,NA
TMEM92-AS1,5.735567162,-0.013742413,0.085300145,0.645205428,0.888978656
MIR4774,18.1136769,-0.014435331,0.083860612,0.658970113,0.894114946
CCDC9B,5.737927775,0.013984764,0.084834046,0.650177391,0.891049649
EIF2AK2,38.368418,-0.017017091,0.070183811,0.702150535,0.912412737
UROD,32.17279243,0.016892359,0.070330669,0.700339518,0.911716927
ATP8,124.1184788,0.013278777,0.086146507,0.635848114,0.884230899
RN7SL381P,18.90734003,0.014792904,0.082951375,0.666056573,0.896289536
CARS2,13.3349604,-0.016677142,0.07450404,0.697456391,0.910912577
POU2F1,14.06661184,0.016845735,0.07255954,0.699999263,0.911432073
CST3,165.4443392,0.01507613,0.081245834,0.671335467,0.898666312
HSPA8P19,1.95139241,-0.012663456,0.087370994,0.622317949,NA
LINC01881,5.548874476,0.015105413,0.082098195,0.672214971,0.899041853
AMN,5.959899943,0.010700383,0.088520959,0.571087934,0.853207245
ANKRD26P4,2.400916458,0.01266332,0.086650819,0.623163856,NA
IKBKE-AS1,2.299228012,-0.012059239,0.086650855,0.608619861,NA
MIR30C1,7.847757443,-0.013609481,0.085360214,0.644129339,0.888474583
TRIM22,75.88168277,-0.015041337,0.082109281,0.67175578,0.89874804
RPL36AP7,4.874665405,-0.014588286,0.083429884,0.663674931,0.895468604
TRAJ34,11.18348361,0.01345201,0.085638454,0.641223656,0.886562273
LOC124900184,26.6291534,-0.011492493,0.087928893,0.594470923,0.865471247
TMEM187,14.72709275,0.015198659,0.081659112,0.674853327,0.900836542
MIR4531,4.169018816,-0.010085527,0.088822186,0.552934965,NA
TMEM156,9.826208633,0.011730255,0.087746722,0.600970141,0.868698172
RNU6-790P,8.153272999,-0.013223149,0.085922797,0.636706041,0.884230899
EFCAB15P,2.447903947,-0.013606819,0.086766776,0.644881758,NA
PPP3CA,46.2669526,-0.016821521,0.072247751,0.701390625,0.912402851
ATP6V0A2,7.4197085,-0.015690208,0.079811797,0.683911239,0.903763722
EXOC3L2,2.319845197,0.011796125,0.087650368,0.603421627,NA
SNORA7B,274.7319112,-0.014335537,0.084726168,0.660092351,0.894114946
SLC4A8-AS1,3.778373298,-0.009932127,0.088904991,0.549424273,NA
LOC100420532,12.75910846,-0.015930645,0.078641585,0.688453696,0.906225553
MIR4539,10.75823331,-0.008409522,0.089415817,0.493420938,0.814528044
VDAC3,63.40633706,0.016206525,0.077337271,0.693294784,0.909010719
GZF1,16.33576449,-0.285368076,0.124938825,0.979413974,0.995935964
TRABD-AS1,2.045489364,-0.012221286,0.087250112,0.615469532,NA
TENM1,6.182901498,-0.004208181,0.088738659,0.244315128,0.645109627
NDUFA4L2,8.270667872,-0.033272384,0.096837413,0.836816958,0.957436167
POLD4,7.163330168,0.015166327,0.081488748,0.676691548,0.901014826
LOC124902572,2.680326238,-0.012623877,0.086788746,0.625557396,NA
NR2F6,35.7591425,-0.01486273,0.078404804,0.671471585,0.898728498
LOC101927863,5.194676434,-0.01437899,0.083709554,0.662785756,0.895205093
SLC46A2,10.01977594,-0.010800431,0.088384044,0.578401432,0.856785306
STARD7-AS1,3.685263212,0.01395414,0.084595665,0.654619045,NA
RBPJ,44.29526055,-0.016963698,0.068188382,0.705739388,0.914208696
HTR2B,9.146426359,0.013759071,0.085007412,0.650861981,0.891170882
HMGB3P21,2.738287505,-0.01301681,0.086192637,0.635757521,NA
RPL7AP47,5.763127124,-0.012614891,0.086787579,0.626736409,0.880257649
GGTA1,5.557095976,0.014594009,0.083006556,0.667830334,0.896933904
MYO5C,39.03460611,0.015069339,0.081585793,0.676662209,0.901014826
RPL29P15,3.833925054,-0.013707949,0.085082286,0.650995937,NA
RN7SL733P,3.389700425,0.013385114,0.085305003,0.644386246,NA
ELP6,13.42262488,-0.016622392,0.073279242,0.702034032,0.912412737
SLC25A6P3,1.915683622,-0.012513625,0.087378026,0.625548154,NA
FLNB,110.6154523,-0.015910517,0.078015464,0.691584882,0.90811732
IQCK,3.870882507,0.013996559,0.084417146,0.657649787,NA
ARMC8,19.73556323,0.016930544,0.068987431,0.707288753,0.91466697
TMEM216,17.1866719,0.016321036,0.075162465,0.698289837,0.91118234
LOC101928389,5.480221667,0.012613925,0.086687007,0.628386563,0.881066945
AP5M1,14.0137015,0.016339984,0.075242432,0.698623381,0.911227185
RNY4,17.09370248,0.011777624,0.087616489,0.608087475,0.87156687
RNA5SP235,2.566420965,-0.011364165,0.08796959,0.597204451,NA
MCM8,3.908687497,-0.013634542,0.08515316,0.65123791,NA
EIF4EBP2,50.92869854,-0.016917614,0.065284598,0.708081238,0.914734434
IQCD,5.753332679,-0.012756004,0.086495711,0.632731032,0.88288672
SLFN13,21.83069991,-0.014415973,0.083358383,0.667183881,0.896723981
RNU7-172P,3.050879267,-0.011095049,0.088088653,0.591113672,NA
MIR5685,11.85303169,-0.014018173,0.084244566,0.659678411,0.894114946
ASTN2,3.058409732,-0.012627718,0.086620618,0.630252774,NA
LSM12,9.21586975,-0.015875863,0.078106651,0.693168406,0.909010719
PKD1P3,2.948182139,-0.013078015,0.085903258,0.640974959,NA
MIR6774,3.353090342,0.011380884,0.087863381,0.600542121,NA
MIR151B,5.74658071,-0.012520887,0.086741167,0.629195684,0.881372121
RPLP0,615.8532526,0.015558959,0.079512179,0.688864365,0.906448157
ACP5,86.55490013,-0.014742207,0.082310732,0.674852025,0.900836542
RER1,50.08816706,0.016384621,0.074437396,0.7020883,0.912412737
COPS7B,11.21465996,0.016768739,0.075109566,0.707998858,0.914734434
GPATCH11,12.87551471,-0.016380429,0.074533876,0.702274708,0.912416115
KDM5D,18.66896769,0.007983151,0.089491963,0.484329647,0.810104819
ULBP3,4.555233487,0.013875205,0.084514239,0.658977043,NA
ACSS3,3.021241046,-0.011988633,0.087268909,0.617340026,NA
DCP1B,7.904834357,-0.015529415,0.0795238,0.689123575,0.906520966
C14orf132,8.370561036,-0.013370302,0.085313134,0.648962376,0.890802493
ARHGEF5,10.54793259,-0.015125112,0.081107703,0.682461268,0.903763722
RN7SL118P,7.4716841,0.013558421,0.085129601,0.653050327,0.892491106
MCM10,4.978541902,-0.011811648,0.087370158,0.613420145,0.874366341
FBXO5,5.961860088,0.014073099,0.084008188,0.663591289,0.895468604
RAD51AP1,9.465463726,-0.012606581,0.086509397,0.632699523,0.88288672
RYR2,6.338990706,0.012783481,0.086301551,0.63686044,0.884230899
RUNX3-AS1,1.887028064,-0.011694798,0.08758226,0.610718335,NA
AKNA,19.39151324,-0.015176653,0.080611751,0.684033478,0.903763722
GORASP2,48.17223323,0.016643446,0.069230492,0.707496311,0.91466697
METTL21AP1,9.24218464,-0.015565361,0.079257917,0.690785512,0.90754403
SNX4,46.2925661,0.016762848,0.068206496,0.709295878,0.915013071
CCL3,2.81220157,0.012677904,0.086406349,0.634991683,NA
RN7SL16P,16.20336068,-0.01643159,0.073431015,0.70440973,0.91329274
METTL2B,11.14770191,-0.016135584,0.075994876,0.699896855,0.91142478
MED27,10.93631233,-0.015079289,0.081108331,0.682644124,0.903763722
C1orf74,3.731743422,0.013755185,0.084621314,0.65806905,NA
RBM18,12.87588978,0.016399276,0.073796477,0.704044115,0.913213115
TM2D1,18.35540501,0.01674362,0.069451581,0.709187871,0.915013071
MCCC1,40.72731321,-0.014151332,0.083731801,0.665929079,0.896289536
LARGE1,6.768317331,0.013899617,0.08441061,0.661077814,0.894367632
RNF185,22.69291144,0.01673788,0.06810343,0.709230206,0.915013071
HMGB1P7,3.14497352,-0.013229887,0.085643585,0.647524479,NA
ELK4,34.09837546,-0.016515335,0.072233235,0.706029794,0.914208696
TTPAL,13.68048666,-0.016268172,0.074996526,0.702540757,0.912520896
RPS2P3,3.855235117,0.01357388,0.085245183,0.655014418,NA
KLHL17,8.004950361,-0.015378597,0.079926207,0.688361582,0.906225553
IGHV5-10-1,149.1345548,-0.01424465,0.090954315,0.668269099,0.897121829
CCDC85C,3.978700856,-0.013888882,0.084261207,0.66189534,NA
DLG3,30.60557936,-0.015884019,0.079867406,0.697107019,0.910912577
MAN2A2,13.24838898,-0.015894692,0.077151657,0.697298671,0.910912577
TTF1,16.2997723,0.016534888,0.07162391,0.707109952,0.91466697
SRMS,4.459324827,0.009834697,0.088842856,0.558555222,NA
CPD,128.6762397,0.013395685,0.085370338,0.652128869,0.892049059
SYT17,6.5154249,-0.014069707,0.083883168,0.665631171,0.896142485
RRM2P3,2.853574815,-0.011930468,0.087335023,0.618787935,NA
RNU7-195P,12.95463261,0.011969137,0.0872581,0.619820883,0.876386044
USF1,78.71761572,0.016695267,0.06487046,0.709728878,0.915035667
RPS27P8,5.427580615,-0.013887831,0.084272133,0.662725464,0.895204213
TNRC18P1,3.179126516,0.013001749,0.085820921,0.644538153,NA
PPIAP52,9.590927137,-0.014339152,0.083140763,0.671501672,0.898728498
CKB,62.70482905,-0.011619305,0.087545382,0.611806216,0.873924928
POLR3A,13.96142084,0.016394714,0.073544965,0.705977985,0.914208696
RNU6-118P,12.55995035,0.015174641,0.080673862,0.686546482,0.90484532
RNU6-188P,7.056781213,0.014437205,0.082883699,0.673522667,0.900309487
SERP1,102.4066941,-0.016279091,0.074345392,0.704368043,0.91329274
CIP2A,9.126184918,-0.013246315,0.085450043,0.650155163,0.891049649
REV3L-IT1,4.946184379,0.014178659,0.083507101,0.669122511,0.897442932
RPL34P28,31.45331643,-0.015698565,0.077957003,0.695913662,0.910203736
KRT18P61,3.289010748,-0.013405143,0.085196977,0.654082209,NA
MAF,17.59399815,0.015192559,0.080407373,0.687637817,0.905469219
TMEM185A,6.293128681,0.014921365,0.081459502,0.68310358,0.903763722
RCL1,14.49275877,-0.015024412,0.080940757,0.684928324,0.904201772
CKAP2L,4.71117152,0.012272909,0.086879507,0.629301064,0.881385553
FKBP15,24.88158586,0.016712402,0.066950387,0.711760346,0.915375551
EEF1B2P8,6.704604123,-0.01207936,0.087059282,0.624995592,0.879376062
FAU,231.3744592,-0.016018367,0.072491781,0.701611644,0.912412737
IGLV5-48,4.131392037,-0.015330177,0.090060337,0.69091311,NA
TMEM30BP1,11.49347153,-0.015084935,0.080655073,0.686873697,0.905098252
RN7SL665P,11.08207152,-0.011007248,0.088007939,0.597767592,0.866899292
DNAJC19,17.3705951,0.016310169,0.073591612,0.706795085,0.914568468
LINC02381,2.465214204,0.011494389,0.087626805,0.611347118,NA
RASSF10-DT,6.138777175,0.011913815,0.087220887,0.622167809,0.877371177
NDUFS6,115.5256859,-0.014869337,0.081186025,0.683940881,0.903763722
PYGL,39.42053697,0.012993479,0.085812972,0.64759874,0.890151749
FCHSD2,27.62280522,-0.016480947,0.072219088,0.709984369,0.915185174
MIOS,25.14042041,0.016680446,0.070402859,0.713248926,0.915779403
MON1B,17.96500464,0.016256805,0.07331167,0.707215894,0.91466697
H3P42,3.771812479,-0.013571053,0.084798038,0.660396911,NA
CYSLTR1,7.27089094,-0.012590015,0.086333468,0.639409394,0.88578171
GUCY2C-AS1,3.067885891,-0.012864126,0.085942813,0.645647087,NA
GPR143,3.924949852,-0.011405822,0.087701233,0.610588339,NA
DPM3,55.4645104,-0.014832509,0.081291443,0.684340667,0.903873117
KIAA0232,36.2318724,0.016381805,0.07234809,0.709358789,0.915013071
PSRC1,5.444858899,-0.014101226,0.083503465,0.671147543,0.898494883
IK,57.93111883,-0.016596023,0.068454138,0.712802301,0.915565625
IRF8,20.3328597,0.014570499,0.082157028,0.680049756,0.902849483
RBIS,15.1256744,-0.014754887,0.081308561,0.683351142,0.903763722
RHOQP1,2.473536959,-0.0123495,0.0866454,0.634515373,NA
GNB1L,2.140118591,0.011994412,0.086950151,0.626230077,NA
RN7SL608P,8.202302456,0.014784144,0.081583483,0.684056516,0.903763722
PGAM1P7,5.323663363,0.014022291,0.083629827,0.670121775,0.897802043
ZNF818P,16.31115531,0.014583468,0.082189764,0.68075383,0.903130867
MON2,33.85563901,-0.016240775,0.072950491,0.708045528,0.914734434
SPIRE1,23.23344019,0.015066635,0.080479846,0.689402854,0.906520966
DYRK1A,18.90540727,-0.01645915,0.070038394,0.711488692,0.915375551
YEATS2-AS1,3.090436988,0.013142251,0.085411131,0.652992492,NA
CD27,8.920950742,0.01253382,0.08632829,0.639737738,0.88596825
LYSMD3,29.68134128,-0.014922814,0.080810242,0.687498983,0.90544527
LOC124904983,1.709135147,-0.011641773,0.0876527,0.618858867,NA
BPGM,24.88669195,0.015786574,0.076773197,0.701964451,0.912412737
IER2,14.94428471,0.01468771,0.081636913,0.683858952,0.903763722
LOC100420066,2.797389294,-0.012780888,0.086031953,0.646323176,NA
MRPL51,80.26376785,-0.015804971,0.075704772,0.702736497,0.91254216
CD33,3.853564355,-0.013533759,0.084695718,0.662391215,NA
VARS1,32.51855079,-0.015093207,0.080008854,0.691767669,0.908198436
NANOGP5,8.271549149,-0.015367604,0.078735777,0.696386551,0.910519349
SH3GLB2,25.57125298,-0.016393522,0.070124493,0.71238218,0.915383296
RN7SL743P,2.671169851,-0.011247225,0.087737181,0.610096801,NA
MIR219A1,3.00138495,-0.01128694,0.087692423,0.61117823,NA
LYG1,4.20047438,0.013725955,0.084181856,0.667286419,NA
IGHV3-79,6.29935137,-0.010459282,0.088361128,0.588227036,0.862450867
ZNF343,8.171337062,-0.01530781,0.07905159,0.695963243,0.910203736
RILP,15.40975121,0.015083997,0.079711666,0.692362983,0.908615113
IL9RP5,2.001948508,-0.010377769,0.088362689,0.586053959,NA
GHRL,3.539525969,-0.013378992,0.084946501,0.660722036,NA
RNF220,9.719249913,0.015757768,0.076961757,0.703578012,0.912845186
CD209,1.934127235,0.011232823,0.087749223,0.610796365,NA
CYP4X1,21.78231857,-0.010831655,0.088080813,0.599802225,0.868264191
ZDHHC20-IT1,1.756528203,0.01140186,0.087563598,0.6153412,NA
RPL15P16,6.847355269,0.015010776,0.080673096,0.691698111,0.908186551
CD244,2.536820563,0.012355683,0.086353736,0.639485182,NA
CD2,31.35102151,-0.013825998,0.083534242,0.670711664,0.898256926
ABCG2,3.854826805,0.013232454,0.085099296,0.658826459,NA
MED28-DT,5.538219131,0.014114626,0.083012334,0.67626015,0.901014826
CDC6,9.483992354,-0.01175892,0.087212106,0.625356196,0.87963607
BEND3P3,2.027510637,-0.011711789,0.087296791,0.624209963,NA
DCSTAMP,2.556234002,0.010846986,0.088068814,0.601228941,NA
CRTC2,15.90938545,-0.0158394,0.074252868,0.705824334,0.914208696
LCAL1,61.37052487,-0.015684042,0.090926292,0.703483376,0.912845186
MIR3129,5.336801972,0.0108124,0.088081972,0.600448987,0.868642616
LAMTOR5-AS1,2.077897143,-0.01150896,0.086926931,0.61928878,NA
LOC105373334,4.500731001,-0.012312343,0.086552202,0.639020988,NA
ZNF280B,2.574997956,-0.011686802,0.087328571,0.623906282,NA
MAPDA,4.146272081,0.013675193,0.084191527,0.668284586,NA
IFIH1,27.67431828,0.014850025,0.080198829,0.69018989,0.907158516
AGPAT2,78.96015975,-0.014290326,0.082969945,0.68025021,0.90294974
RN7SL615P,4.001889572,-0.013324567,0.084908528,0.661714851,NA
ARIH2,25.31413035,-0.016481686,0.065768176,0.716350943,0.917003377
ANKIB1,46.79809841,0.016280984,0.06890717,0.713421757,0.915820847
RNU6-669P,4.320960217,-0.009450787,0.088913395,0.558948558,NA
KIAA2013,41.04151895,0.01626335,0.068473908,0.713282945,0.915779403
UTP25,14.40741849,0.015563893,0.07724377,0.702598534,0.912520896
EMC1-AS1,3.09681937,-0.012979332,0.085503793,0.655080607,NA
AQP5,64.60942204,0.008349284,0.089322338,0.518577533,0.827607752
ZNNT1,3.464188766,-0.013110642,0.085351945,0.658319697,NA
ANXA11,65.44569689,0.016236527,0.072379374,0.713804583,0.916132348
DNPH1,45.86349121,-0.014741372,0.080878005,0.689818171,0.906828757
ZCCHC4,12.20817089,-0.015912648,0.074527739,0.708976562,0.915013071
CTNS-AS1,5.387592452,0.013931984,0.083403997,0.675234334,0.900836542
HMGXB3,42.53869048,-0.016392271,0.065549299,0.716659891,0.917003377
ZNF579,3.827166013,0.01339985,0.08460523,0.665278077,NA
RNU1-103P,4.085039958,-0.013097879,0.085193294,0.659111169,NA
BARD1,11.25863796,-0.015422506,0.078308474,0.70188223,0.912412737
FUNDC1,22.67139441,-0.015355352,0.078089251,0.70084301,0.911976904
RPL23AP77,2.083406842,-0.010491614,0.088237021,0.594491707,NA
PPP1R21,29.80769902,-0.015892874,0.066690032,0.709445351,0.915013071
PHF5AP3,8.976548283,-0.014094693,0.082917906,0.679242505,0.902460545
RNU6-807P,8.275211596,0.014043527,0.083065465,0.678416642,0.902128177
IGHV3-64,30.39083461,0.009394425,0.088912628,0.560144569,0.84796128
CENPM,7.668495458,0.013337265,0.08489077,0.664832448,0.895551921
ARFGEF1-DT,1.93775798,-0.01164809,0.087268583,0.626810005,NA
TNFRSF25,9.366073003,0.012906645,0.085246572,0.656081546,0.893083705
FAM228B,4.174381039,-0.013754328,0.083863772,0.673395419,NA
MREG,14.59212405,-0.015596006,0.07637569,0.705695876,0.914208696
TOMM22-DT,1.858526536,-0.011902066,0.087394538,0.633376016,NA
RPP30,11.42966324,0.015780127,0.07529088,0.708813579,0.915013071
RTKN,16.13509094,-0.014856104,0.08031769,0.693868587,0.909400915
REXO4,21.09491333,0.016262624,0.06892322,0.716173578,0.917003377
MFSD12,17.32645153,-0.015063803,0.079292308,0.697495558,0.910912577
LEPR,8.993354853,0.011635427,0.087210826,0.627965674,0.880929673
LOC642361,2.719737209,-0.012433244,0.08621209,0.647090679,NA
LOC124900327,2.576447757,0.011459417,0.087384741,0.623623655,NA
ADRA2A,7.015910618,0.010195774,0.088482118,0.588523667,0.862450867
MED11,10.87465041,0.015314633,0.078457084,0.702692306,0.91254216
ARHGAP24,9.914740852,-0.013874785,0.083322671,0.677436947,0.901527492
SLC9A9-AS2,1.828712484,-0.011608784,0.087552936,0.628292689,NA
LOC100419503,4.507601666,-0.013804903,0.083552597,0.676508542,NA
