Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
TSPAN18,3.355932379,1.663911373,0.18825169,0.08662123,NA
CCL20,36.20512186,0.809801883,0.653894577,0.006621297,0.138035652
RPLP0P9,7.142596131,0.808835698,0.501732357,0.006761368,0.139215554
SERPINI2,2.819228831,0.746595815,0.537376357,0.004508534,NA
MIR4668,10.73936969,0.637669939,0.322518109,0.001842767,0.072126075
KCNK6,8.511767888,0.532315267,0.216608258,0.000537932,0.036869193
STAP1,4.772967305,0.622280618,0.320910177,0.001604469,0.068304287
GASK1B,24.30320004,0.632783684,0.311111739,0.001799675,0.071652827
FABP4,13.95588632,0.763074465,0.54408287,0.005375244,0.125089007
CARD6,16.31474333,0.504983032,0.190882027,0.000391412,0.029523119
TGFBR1,52.53117794,0.512358457,0.194543696,0.000439025,0.031989137
SNRPA1,20.53411999,0.398463498,0.120116814,5.02E-05,0.00784656
SPRY4,27.85946311,-0.588049967,0.30728729,0.001258439,0.058612748
FPR1,24.56534895,0.573673445,0.25444668,0.001065313,0.053591406
PGLYRP4,3.594518128,0.779133568,0.733170138,0.006636866,NA
SLC2A3,50.23603216,0.66868619,0.376157707,0.002966671,0.095270577
PLEKHG4,10.27279819,-0.616947671,0.347753859,0.001834359,0.072126075
RNF148,10.70366297,-0.552896775,0.256457817,0.001071114,0.053591406
TNFSF14,3.323426428,0.604595664,0.339190941,0.001977185,NA
APTR,9.265904009,-0.588642151,0.312840943,0.001690339,0.069322354
RNU6-212P,13.98245984,0.57253197,0.274067284,0.001486746,0.064987528
LIF-AS2,3.462719872,0.719882194,0.619431964,0.005700232,NA
PTGIS,19.27704944,0.560110671,0.260332895,0.001329341,0.060833561
HSPB1,270.2372553,-0.535536103,0.265331506,0.00103058,0.052260157
ENGASE,19.43784586,-0.48839858,0.198662645,0.000542232,0.036894052
PLSCR1,57.57457423,0.431917655,0.148122489,0.000207222,0.020735989
FGF7,11.73190057,0.594471792,0.306900636,0.002123531,0.077741935
RSPH4A,4.387193012,0.654666806,0.427853547,0.003773783,NA
EPS8L1,13.45036587,0.574577547,0.287983964,0.001809077,0.07175566
TGIF1,21.36276799,0.425132579,0.146980315,0.000201088,0.020532877
RND1,17.07020334,0.693258101,0.512445834,0.00541364,0.125399289
CSNK1E,18.58574819,0.415311747,0.141116374,0.000167302,0.018464695
MT1M,22.44725337,1.544589718,0.427357243,0.096681304,0.45265381
BICDL1,10.34437784,0.56839091,0.285075846,0.001752171,0.07050963
ITGB1P1,2.283177508,0.569942569,0.330475174,0.001843701,NA
TRAV38-2DV8,2.319155619,0.58459643,0.357375584,0.002171803,NA
MIA2,20.31756203,0.491300335,0.201593017,0.000694694,0.041543241
MEFV,1.958207448,0.585988257,0.375621394,0.002312998,NA
SLC25A37,36.56073018,0.519407722,0.227944296,0.001067838,0.053591406
TMEM17,2.692286523,0.548055924,0.296623725,0.001547069,NA
PAX8,2.4922728,0.647343348,0.502997903,0.004184328,NA
UCN,3.888788334,-0.620233497,0.381529404,0.003328392,NA
WNK1,78.42771526,-0.471295018,0.1986357,0.000576364,0.037848405
FAM157D,3.069153971,0.569205574,0.320826526,0.002082524,NA
NDUFA8P1,6.912761046,-0.559637943,0.29313577,0.001884878,0.073106004
TSTD1,62.90353365,-0.499578907,0.232396743,0.000894999,0.047638055
MAGI3,45.13344718,-0.500855376,0.232701299,0.000913123,0.048260459
TESC,63.81909745,0.719884266,0.688037533,0.007746228,0.147995887
SRGN,315.902757,0.495270231,0.207702643,0.000863106,0.046737192
DONSONP1,3.762637671,-0.60995202,0.365278188,0.003349239,NA
IMPA2,36.73515472,0.601978297,0.3471842,0.003145605,0.09713384
ENTPD8,3.161323453,0.627703819,0.46664072,0.003995205,NA
TRPC6P2,5.70158813,-0.584289455,0.345592198,0.00270925,0.089784306
SPECC1,7.879642258,0.459946366,0.187577691,0.000559743,0.037507787
IGLC3,952.8502854,0.693467956,0.596262106,0.007026106,0.141369765
